,CV,time,AHT,time24,hour,day,lasthr01
146,358,2018-05-10 10:30:00,628.7653631284916,10:30:00,10,3,1
147,367,2018-05-10 11:30:00,580.9673024523161,11:30:00,11,3,1
148,369,2018-05-10 12:00:00,659.7154471544716,12:00:00,12,3,1
149,392,2018-05-10 12:30:00,642.984693877551,12:30:00,12,3,1
150,362,2018-05-10 13:30:00,641.9226519337017,13:30:00,13,3,1
151,324,2018-05-10 14:30:00,573.6851851851852,14:30:00,14,3,1
152,368,2018-05-10 15:00:00,594.7635869565217,15:00:00,15,3,1
153,353,2018-05-10 15:30:00,631.0254957507082,15:30:00,15,3,1
154,300,2018-05-10 16:30:00,563.08,16:30:00,16,3,1
155,288,2018-05-10 17:30:00,663.8055555555555,17:30:00,17,3,1
156,139,2018-05-10 18:00:00,658.5539568345324,18:00:00,18,3,1
157,139,2018-05-10 18:30:00,561.2661870503597,18:30:00,18,3,1
158,2,2018-05-10 19:00:00,43.0,19:00:00,19,3,0
159,1,2018-05-10 19:30:00,283.0,19:30:00,19,3,0
160,114,2018-05-11 07:30:00,485.0877192982456,07:30:00,7,4,1
161,219,2018-05-11 08:00:00,568.0958904109589,08:00:00,8,4,1
162,227,2018-05-11 08:30:00,633.2687224669603,08:30:00,8,4,1
163,329,2018-05-11 09:00:00,598.1306990881459,09:00:00,9,4,1
164,338,2018-05-11 09:30:00,601.4467455621302,09:30:00,9,4,1
165,431,2018-05-11 10:00:00,680.6890951276102,10:00:00,10,4,1
166,327,2018-05-11 10:30:00,717.8899082568807,10:30:00,10,4,1
167,430,2018-05-11 11:30:00,660.9790697674418,11:30:00,11,4,1
168,382,2018-05-11 12:00:00,724.7722513089005,12:00:00,12,4,1
169,412,2018-05-11 12:30:00,667.0461165048544,12:30:00,12,4,1
170,385,2018-05-11 13:30:00,612.1636363636363,13:30:00,13,4,1
171,344,2018-05-11 14:30:00,669.1889534883721,14:30:00,14,4,1
172,370,2018-05-11 15:00:00,686.2945945945946,15:00:00,15,4,1
173,355,2018-05-11 15:30:00,651.7971830985915,15:30:00,15,4,1
174,289,2018-05-11 16:30:00,678.1799307958478,16:30:00,16,4,1
175,208,2018-05-11 17:30:00,697.0096153846154,17:30:00,17,4,1
176,147,2018-05-11 18:00:00,586.0884353741496,18:00:00,18,4,1
177,101,2018-05-11 18:30:00,480.64356435643566,18:30:00,18,4,1
178,1,2018-05-11 19:30:00,1362.0,19:30:00,19,4,0
179,146,2018-05-14 07:30:00,545.1575342465753,07:30:00,7,0,1
180,280,2018-05-14 08:00:00,588.2464285714286,08:00:00,8,0,1
